organ,code,busdate,outofstockrate,turnoverdays,new_storage
1016,6920907809350,2022-06-06,0.03571428571428571,11.827956989247312,3.89
1016,6920907809350,2022-06-07,0.03571428571428571,23.479188900747065,2.325
1016,6920907809350,2022-06-08,0.03571428571428571,16.62292213473316,2.3425000000000002
1016,6920907809350,2022-06-09,0.03571428571428571,13.832384052074856,2.8575
1016,6920907809350,2022-06-10,0.03571428571428571,9.957325746799432,3.0725000000000002
1016,6920907809350,2022-06-11,0.03571428571428571,6.006006006006006,3.5149999999999997
1016,6920907809350,2022-06-12,0.03571428571428571,3.1595576619273302,4.1625
1016,6920907809350,2022-06-13,0.03571428571428571,9.47867298578199,4.7475000000000005
1016,6920907809350,2022-06-14,0.03571428571428571,8.952080042127436,4.2725
1016,6920907809350,2022-06-15,0.03571428571428571,8.191925102399063,4.095
1016,6920907809350,2022-06-16,0.03571428571428571,7.326007326007327,4.4350000000000005
1016,6920907809350,2022-06-17,0.03571428571428571,6.200676437429538,4.4925
1016,6920907809350,2022-06-18,0.03571428571428571,5.008347245409015,6.0095
1016,6920907809862,2022-04-11,0.0,22.72727272727273,1.0065
1016,6920907809862,2022-05-02,0.0,19.63350785340314,1.5675
1016,6920907809862,2022-05-03,0.0,21.80232558139535,1.9100000000000001
1016,6920907809862,2022-05-04,0.0,24.232633279483036,1.9100000000000001
1016,6920907809862,2022-05-08,0.0,21.922428330522767,0.75
1016,6920907809862,2022-05-22,0.0,23.57320099255583,1.6825
1016,6920907809862,2022-05-23,0.0,21.81818181818182,2.015
1016,6920907809862,2022-05-24,0.0,20.19002375296912,2.0625
1016,6920907809862,2022-05-25,0.0,22.427440633245382,2.105
1016,6920907809862,2022-05-26,0.0,20.460358056265985,1.895
1016,6920907809862,2022-05-27,0.0,18.656716417910445,1.955
1016,6920907809862,2022-05-28,0.0,8.169934640522875,2.0100000000000002
1016,6920907809862,2022-05-30,0.03571428571428571,9.02061855670103,3.755
1016,6920907809862,2022-05-31,0.03571428571428571,7.514088916718848,3.88
1016,6920907809862,2022-06-01,0.03571428571428571,7.156798959011061,3.9924999999999997
1016,6920907809862,2022-06-02,0.03571428571428571,5.685407454200885,3.8425
1016,6920907809886,2022-04-10,0.0,20.03081664098613,1.8025
1016,6920907809886,2022-04-11,0.0,22.26027397260274,1.6225
1016,6920907809886,2022-04-17,0.0,24.752475247524753,1.35
1016,6920907809886,2022-05-09,0.0,17.114914425427873,0.8639999999999999
1016,6920907809886,2022-05-10,0.0,19.02173913043478,1.2269999999999999
1016,6920907809886,2022-05-11,0.0,21.148036253776436,1.104
1016,6920907809886,2022-05-22,0.0,23.85321100917431,0.753
1016,6920907809886,2022-05-31,0.03571428571428571,22.72727272727273,1.4000000000000001
1016,6920907809886,2022-06-01,0.03571428571428571,20.435967302452315,1.7599999999999998
1016,6920907809886,2022-06-02,0.03571428571428571,15.098722415795587,1.835
1016,6920907809886,2022-06-03,0.03571428571428571,16.774193548387096,2.1525
1016,6920907809886,2022-06-04,0.03571428571428571,15.037593984962406,1.9375
1016,6920907809886,2022-06-05,0.03571428571428571,8.840864440078585,1.995
1016,6920907809886,2022-06-06,0.03571428571428571,12.403100775193797,2.545
1016,6920907809886,2022-06-12,0.03571428571428571,20.161290322580644,1.645
1016,6920907809886,2022-06-13,0.03571428571428571,20.161290322580644,2.48
1016,6920907809886,2022-06-14,0.03571428571428571,18.14516129032258,2.2325
1016,6920907809886,2022-06-15,0.03571428571428571,19.036954087346025,2.51
1016,6920907809886,2022-06-16,0.03571428571428571,16.932270916334662,2.51
1016,6920907809886,2022-06-17,0.03571428571428571,12.94820717131474,2.2600000000000002
1016,6920907809886,2022-06-18,0.03571428571428571,12.168141592920353,3.035
1016,6920907809909,2022-04-10,0.0,16.270337922403,0.666
1016,6920907809909,2022-04-11,0.0,14.652014652014653,0.799
1016,6920907809909,2022-04-12,0.0,13.142174432497013,0.819
1016,6920907809909,2022-04-13,0.0,11.723329425556859,0.837
1016,6920907809909,2022-04-14,0.0,13.020833333333334,0.853
1016,6920907809909,2022-04-15,0.0,14.471780028943561,0.768
1016,6920907809909,2022-04-16,0.0,13.015184381778742,0.691
1016,6920907809909,2022-04-17,0.0,11.827956989247312,0.922
1016,6920907809909,2022-04-18,0.0,13.142174432497013,0.93
1016,6920907809909,2022-04-19,0.0,14.608233731739707,0.837
1016,6920907809909,2022-04-20,0.0,12.853470437017995,0.753
1016,6920907809909,2022-04-21,0.0,12.857142857142858,0.778
